,Compound,Phase,Band gap (eV),VBM (eV),CBM (eV),Compound mass,Compound type,Phase index,Average radius,HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
31,AlBr,AlBr_2,1.88903846154,-2.41903846154,-0.521961538462,53.04275,III-VII,2,106.0,2.73120689655,-2.90610344828,-0.174896551724,2.5688515059,-4.98788996744,-3.090813044362,2.56389441512,-5.4699978634,-2.7387909668440003
32,AlI,AlI_0,1.50918660287,-2.05618660287,-0.539813397129,76.742985,III-VII,0,116.5,2.21630769231,-2.46115384615,-0.244846153846,2.47174306412,-4.5279296669899995,-3.011556461249,2.46911224768,-4.93026609383,-2.713958401526
33,AlI,AlI_1,2.27575289575,-3.71875289575,-1.43424710425,76.742985,III-VII,1,116.5,3.08603225806,-4.26651612903,-1.18048387097,1.92774173915,-5.6464946349,-3.3619888434,1.95779828818,-6.2243144172100004,-3.13828215915
34,AlI,AlI_2,1.52318483412,-1.66718483412,-0.136815165877,76.742985,III-VII,2,116.5,2.22707692308,-2.06253846154,0.164538461538,2.87231545921,-4.539500293330001,-3.0091306250870002,2.86959250638,-4.93213096792,-2.705054044842
35,GaF,GaF_0,2.72469396552,-3.18069396552,-0.444306034483,44.3607,III-VII,0,90.0,3.74207407407,-3.83503703704,-0.092962962963,2.09344569002,-5.27413965554,-2.537751724503,2.11026056392,-5.94529760096,-2.203223526883
36,GaF,GaF_1,1.86697247706,-0.859972477064,1.02397247706,44.3607,III-VII,1,90.0,2.76576923077,-1.47038461538,1.29538461538,,,,,,
37,GaF,GaF_2,1.7139020979,-4.0569020979,-2.3310979021,44.3607,III-VII,2,90.0,2.72778947368,-4.72089473684,-1.99310526316,2.43713368193,-6.49403577983,-4.76823158403,2.44563470461,-7.166529441450001,-4.43873996777
38,GaCl,GaCl_0,2.96008767123,-3.79208767123,-0.823912328767,52.58785,III-VII,0,108.5,3.97257142857,-4.43228571429,-0.459714285714,1.72998683741,-5.52207450864,-2.553899166177,1.72979750775,-6.16208322204,-2.1895117934640003
39,GaCl,GaCl_1,3.01990131579,-5.09590131579,-2.06609868421,52.58785,III-VII,1,108.5,3.89541176471,-5.72020588235,-1.82479411765,1.73158416447,-6.82748548026,-3.79768284868,1.76769280653,-7.48789868888,-3.59248692418
40,GaCl,GaCl_2,2.98716164384,-3.50216164384,-0.506838356164,52.58785,III-VII,2,108.5,3.97361904762,-4.12930952381,-0.15569047619,2.0279496445,-5.5301112883400005,-2.5347880006640002,2.02776081244,-6.157070336249999,-2.18345128863
41,GaBr,GaBr_0,2.52594321767,-3.64894321767,-1.11505678233,74.6135,III-VII,0,116.0,3.432,-4.214,-0.782,1.64005877551,-5.289001993179999,-2.75511555784,1.63642524203,-5.850425242030001,-2.41842524203
42,GaBr,GaBr_2,2.53394339623,-3.37494339623,-0.833056603774,74.6135,III-VII,2,116.0,3.38727777778,-3.89013888889,-0.502861111111,1.91827699718,-5.2932203934099995,-2.751333600954,1.91420991965,-5.80434880854,-2.417071030761
43,GaI,GaI_0,2.19211726384,-2.99311726384,-0.793882736156,98.31373500000001,III-VII,0,126.5,2.87470588235,-3.42685294118,-0.552147058824,2.05613690191,-5.04925416575,-2.850019638066,2.05483678272,-5.4816897239,-2.606983841544
44,GaI,GaI_1,2.73847826087,-4.15947826087,-1.41252173913,98.31373500000001,III-VII,1,126.5,3.54689189189,-4.69094594595,-1.14405405405,1.77631977429,-5.93579803516,-3.18884151342,1.81650334996,-6.50744929591,-2.9605574040100002
45,GaI,GaI_2,2.24412420382,-2.69812420382,-0.446875796178,98.31373500000001,III-VII,2,126.5,3.00516666667,-3.17908333333,-0.173916666667,2.37395089233,-5.07207509615,-2.820826688508,2.37240303998,-5.55148637331,-2.546319706647
46,InF,InF_0,2.20022346369,1.06577653631,3.27822346369,66.9082,III-VII,0,99.0,2.69444444444,0.704277777778,3.39872222222,,,,,,
47,InF,InF_1,0.947796610169,2.47820338983,3.44179661017,66.9082,III-VII,1,99.0,1.57371428571,1.97814285714,3.55185714286,,,,,,
48,InF,InF_2,1.477453125,-2.453453125,-0.964546875,66.9082,III-VII,2,99.0,2.2725,-2.89825,-0.62575,3.48548067494,-5.938933799939999,-4.45002754994,3.47966324148,-6.37791324148,-4.10541324148
49,InCl,InCl_0,2.74497959184,-3.23597959184,-0.483020408163,75.13535,III-VII,0,117.5,3.66371794872,-3.83035897436,-0.166641025641,1.97307285004,-5.20905244188,-2.456093258203,1.97509784442,-5.80545681878,-2.141738870061
50,InCl,InCl_1,2.65250719424,-4.59950719424,-1.93749280576,75.13535,III-VII,1,117.5,3.43412903226,-5.17006451613,-1.73593548387,1.99574854385,-6.59525573809,-3.9332413496100003,2.02920207672,-7.19926659285,-3.76513756059
51,InCl,InCl_2,2.77900867052,-2.89600867052,-0.10899132948,75.13535,III-VII,2,117.5,3.66371794872,-3.48335897436,0.180358974359,2.31676451208,-5.2127731825999994,-2.4257558415599996,2.31908631871,-5.802445293070001,-2.138727344351
52,InBr,InBr_0,2.37378289474,-3.21078289474,-0.829217105263,97.161,III-VII,0,125.0,3.17671428571,-3.69685714286,-0.520142857143,1.819607695,-5.03039058974,-2.648824800263,1.81664917407,-5.51350631693,-2.336792031213
53,InBr,InBr_1,2.76524832215,-4.57124832215,-1.79675167785,97.161,III-VII,1,125.0,3.61270588235,-5.16235294118,-1.54964705882,1.86476712744,-6.43601544959,-3.66151880529,1.9047773174,-7.06713025858,-3.45442437622
54,InBr,InBr_2,2.40383006536,-2.90083006536,-0.489169934641,97.161,III-VII,2,125.0,3.17671428571,-3.38885714286,-0.212142857143,2.12456895874,-5.0253990241,-2.613738893381,2.12113479682,-5.50999193968,-2.333277653963
55,InI,InI_0,2.13299342105,-2.75799342105,-0.618006578947,120.861235,III-VII,0,135.5,2.85851428571,-3.20625714286,-0.347742857143,2.10885620529,-4.8668496263400005,-2.726862784237,2.10637844658,-5.31263558944,-2.454121303723
56,InI,InI_1,2.31652117264,-4.26552117264,-1.94147882736,120.861235,III-VII,1,135.5,3.17059459459,-4.7802972973,-1.6097027027,0.653346398608,-4.918867571248,-2.594825225968,0.652373731771,-5.432671029071,-2.262076434471
57,InI,InI_2,2.14601311475,-2.44701311475,-0.293986885246,120.861235,III-VII,2,135.5,2.80482352941,-2.84591176471,-0.0410882352941,2.43514438334,-4.88215749809,-2.729131268586,2.43283194227,-5.27874370698,-2.4739201775641
58,CO,CO_0,1.29044210526,-3.59944210526,-2.29555789474,14.00505,IV-VI,0,57.5,3.60218181818,-4.89809090909,-1.29590909091,3.61145089574,-7.2108930010000005,-5.90700879048,3.5441770691,-8.44226797819,-4.840086160009999
59,CO,CO_1,0.578666666667,-0.217666666667,0.381666666667,14.00505,IV-VI,1,57.5,2.47866666667,-1.41333333333,1.06533333333,,,,,,
60,CO,CO_2,1.01282051282,10.0721794872,11.0978205128,14.00505,IV-VI,2,57.5,0.0,9.711651,9.711651,,,,,,
